date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;6835000;3295000;-1.2;0.8;-2.6;5.9;194.0;5.14; mouhijarvi;NaN;NaN;NaN
2006-01-02;6835000;3295000;-0.6;0.7;-1.8;1.2;184.0;5.51; mouhijarvi;NaN;NaN;NaN
2006-01-03;6835000;3295000;-2.4;-0.7;-3.6;0.0;205.0;4.9; mouhijarvi;NaN;NaN;NaN
2006-01-04;6835000;3295000;-3.4;-2.0;-5.1;0.0;194.0;4.51; mouhijarvi;NaN;NaN;NaN
2006-01-05;6835000;3295000;-6.1;-2.6;-10.6;0.0;292.0;3.84; mouhijarvi;NaN;NaN;NaN
2006-01-06;6835000;3295000;-1.6;-1.0;-2.7;0.0;216.0;5.2; mouhijarvi;NaN;NaN;NaN
2006-01-07;6835000;3295000;-2.2;-1.0;-2.7;0.0;497.0;5.14; mouhijarvi;NaN;NaN;NaN
2006-01-08;6835000;3295000;-4.4;-2.5;-6.5;0.0;734.0;4.31; mouhijarvi;NaN;NaN;NaN
2006-01-09;6835000;3295000;-2.8;-1.8;-3.4;0.0;194.0;4.87; mouhijarvi;NaN;NaN;NaN
2006-01-10;6835000;3295000;-2.3;0.9;-6.7;0.7;1069.0;4.9; mouhijarvi;NaN;NaN;NaN
2006-01-11;6835000;3295000;1.1;1.7;-0.3;8.6;108.0;6.49; mouhijarvi;NaN;NaN;NaN
2006-01-12;6835000;3295000;1.4;2.5;1.0;0.0;853.0;5.93; mouhijarvi;NaN;NaN;NaN
2006-01-13;6835000;3295000;-0.6;1.7;-2.8;0.0;238.0;5.71; mouhijarvi;NaN;NaN;NaN
2006-01-14;6835000;3295000;-1.1;0.0;-2.8;0.0;788.0;5.42; mouhijarvi;NaN;NaN;NaN
2006-01-15;6835000;3295000;-0.7;0.2;-2.1;0.0;302.0;5.49; mouhijarvi;NaN;NaN;NaN
2006-01-16;6835000;3295000;-1.1;-0.5;-1.6;0.3;238.0;5.4; mouhijarvi;NaN;NaN;NaN
2006-01-17;6835000;3295000;-5.6;-0.6;-6.4;0.3;324.0;3.55; mouhijarvi;NaN;NaN;NaN
2006-01-18;6835000;3295000;-17.2;-10.4;-19.0;0.2;1318.0;1.08; mouhijarvi;NaN;NaN;NaN
2006-01-19;6835000;3295000;-22.9;-19.0;-24.7;0.0;1728.0;0.79; mouhijarvi;NaN;NaN;NaN
2006-01-20;6835000;3295000;-22.6;-19.8;-25.4;0.0;1588.0;0.83; mouhijarvi;NaN;NaN;NaN
2006-01-21;6835000;3295000;-20.8;-19.3;-22.7;0.0;1922.0;0.86; mouhijarvi;NaN;NaN;NaN
2006-01-22;6835000;3295000;-21.1;-18.3;-24.3;0.0;2138.0;0.92; mouhijarvi;NaN;NaN;NaN
2006-01-23;6835000;3295000;-7.2;-3.6;-20.0;0.6;421.0;3.38; mouhijarvi;NaN;NaN;NaN
2006-01-24;6835000;3295000;-2.2;-1.3;-3.7;4.0;302.0;5.02; mouhijarvi;NaN;NaN;NaN
2006-01-25;6835000;3295000;-0.9;0.1;-2.1;0.3;508.0;5.48; mouhijarvi;NaN;NaN;NaN
2006-01-26;6835000;3295000;-2.9;-1.5;-4.3;0.2;832.0;4.63; mouhijarvi;NaN;NaN;NaN
2006-01-27;6835000;3295000;-1.0;1.2;-2.9;0.0;1966.0;4.9; mouhijarvi;NaN;NaN;NaN
